SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
0,1.130675019909333,1.154988349246233,1.6273385849377076,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
0,-0.6315077871238494,1.2467665249136108,-0.24490414477108788,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
0,0.8438080513225359,1.5120888872974856,1.5610440064568858,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0
1,-1.2462227198098432,-1.5349465448594635,-0.9973310644605733,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0
0,-0.4266028095618514,0.5959758247267488,-0.2198423673487207,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,-1.0003367467354458,-0.47198840122092234,-0.8306128848999845,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
0,-1.0822987377602449,-1.5049100510046853,-0.9694674862172196,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0
0,-1.0413177422478452,-1.5082474392107719,-0.9530317254956848,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1
0,-1.1232797332726445,0.49752287264719774,-0.8378931547497919,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
0,1.5814659705457286,-1.514922215622945,-0.3976795044981062,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0
0,1.6224469660581282,-1.4848857217681666,-0.3553877550978616,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0
0,-0.877393760198247,0.8329303873588886,-0.5778330911451576,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
0,-1.2462227198098432,-0.6872499405134996,-0.9782038100369883,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
0,-1.0413177422478452,0.3156352154154854,-0.7838206050471317,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1
1,-1.2872037153222429,0.3523464856824364,-0.9803217067205687,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
0,-1.0003367467354458,-0.3518424258018093,-0.80096233132986,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,-0.05777384995025511,0.1954892399963721,-0.05709524406984498,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
0,-1.2462227198098432,-0.3918910842748468,-0.9610179609066856,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,-0.7954317691734478,-0.5487483299609112,-0.7342706472208669,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
0,-1.0413177422478452,-1.4932291922833827,-0.9472295710396261,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
0,0.3930171006861404,-1.5399526271685935,-0.677594849511306,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
0,-0.467583805074251,-0.40190324889310636,-0.4916832312557704,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
0,1.6224469660581282,0.4591429082772036,1.514560586537055,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0
0,0.8847890468349355,0.31229782720939864,0.8356423309068368,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0
0,0.5159600872233392,0.9947937153540823,0.9139162625041599,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0
0,-0.7134697781486485,-0.45530146019049,-0.6759843655748333,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0.22909311863654203,0.9831128566327798,0.5853996008875492,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1
1,0.3930171006861404,1.0131493504875577,0.7205478830085186,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
0,1.4585229840085299,-0.23169645038269626,0.7404472872646587,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,-0.467583805074251,-1.3063354527425404,-0.7641197536050771,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,-0.8364127646858474,0.6426992596119596,-0.5462411322817511,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
0,0.3520361051737408,0.991456327147996,0.6841024109119072,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
0,0.6798840692729375,1.4687028406183615,1.3205524257515824,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0
0,-1.2052417242974438,1.4269854880422805,-0.8753755137644061,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
0,-0.4266028095618514,0.6043192952419649,-0.19928112037896165,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
0,1.0487130288845339,0.05365024123769704,0.7381087763432055,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,0.02418814107454407,-0.3818789196565875,-0.19425111575545845,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
0,-0.34464081853705225,1.1383014082158005,0.05903609074647614,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1
0,-1.2462227198098432,-0.36018589631702547,-0.9634005946757135,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
0,-1.1232797332726445,0.9764380802206069,-0.7939688599892873,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1
0,-1.2462227198098432,0.35067779157939327,-0.9302643361471963,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
1,-0.672488782636249,0.45246813186503054,-0.4762181731808766,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0.6798840692729375,-0.11488786316966972,0.32059633116864644,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0.10615013209934325,-1.5182596038290312,-0.6914714850735144,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0
0,0.22909311863654203,-0.17329215677618298,-0.046042470752410275,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0
1,1.6224469660581282,1.3902742177753291,2.373742735933261,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
0,-1.2462227198098432,-1.5049100510046853,-0.9961838704236338,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
0,-1.2462227198098432,0.8129060581223695,-0.9318748200836687,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
0,-1.2052417242974438,0.14542841690507502,-0.9254108229139915,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,-0.6315077871238494,-1.02766353753432,-0.7522065847599378,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,-0.38562181404945184,-1.494897886386426,-0.8025066309949705,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0
0,-1.2462227198098432,0.08535542919551863,-0.9622754620625613,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
1,-1.2462227198098432,0.48584201392589527,-0.943412944724424,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1,0.43399809619854,1.4136359352179344,0.9867410224260207,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1
0,1.130675019909333,0.5125411195745869,1.1249117196058498,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0
0,1.4585229840085299,-0.3585172022139821,0.6133955476736265,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,-0.877393760198247,-0.6672256112769808,-0.7966603536913374,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,-0.9183747557106465,-1.5082474392107719,-0.9261167884751849,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0
0,-1.2872037153222429,-1.005970514194758,-0.9982797056834268,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1,1.4175419884961302,-0.34349895528659313,0.6300519226330342,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,-1.2872037153222429,1.014818044590601,-0.9715633214770126,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1
0,-1.2872037153222429,-1.1561529834686493,-1.0002652338242835,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,-0.7954317691734478,-1.5082474392107719,-0.8952969794443335,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0
0,-1.2462227198098432,-1.1661651480869084,-0.9856164484295196,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,-1.2462227198098432,-0.660550834864808,-0.9780273186466901,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,0.22909311863654203,0.3256473800337447,0.2525147773610538,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,-0.8364127646858474,1.3852681354661998,-0.46048837802053516,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1
0,1.6224469660581282,1.0932466674336334,2.125264919816957,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0
0,0.02418814107454407,0.7928817288858508,0.3221406308337571,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0
0,-0.34464081853705225,-1.516590909725988,-0.7939688599892873,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0
1,-1.1232797332726445,0.16879013434768042,-0.8673010326582561,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
0,0.22909311863654203,1.2834777951805623,0.7460950117542062,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
0,-1.1642607287850442,-1.4798796394590368,-0.9859914926339035,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
0,0.18811212312414244,0.013601582764659274,0.007169683422545572,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
0,-0.672488782636249,0.8546234106984504,-0.377405056037582,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
1,-1.2462227198098432,0.6794105298789106,-0.9310364859797516,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
0,-0.7134697781486485,1.206717866440573,-0.3280977738729775,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1
0,1.0077320333721342,1.1866935372040546,1.627007663580898,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0
0,1.1716560154217326,0.8162434463284562,1.328604845433945,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0
0,-1.2872037153222429,-1.5332778507564204,-1.0052511156002122,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1
1,1.4175419884961302,0.9096903160988774,1.6957731215258969,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0
0,-1.2872037153222429,-0.6522073643495918,-0.9936026838405203,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
0,1.0487130288845339,0.10704845253508088,0.7389250490233353,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0
0,-1.1642607287850442,0.3490090974763501,-0.8803393341165475,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,-0.8364127646858474,-0.6438638938343756,-0.790505216454682,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.3110551096613412,-0.0030853582657730865,0.12727207452057981,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0.8438080513225359,1.3652438062296806,1.5320332341765928,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1
0,0.8847890468349355,0.16545274614159414,0.6257058221469372,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1
0,-0.5905267916114498,-0.2583955560313879,-0.5765535285654946,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
0,-0.09875484546265471,0.6610548947454351,0.14414906371786051,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
1,1.5814659705457286,1.296827348004908,2.2573246026077056,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
0,-1.1232797332726445,0.8396051637710612,-0.8220309910467267,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
0,0.43399809619854,0.7094470237336891,0.5634264227954031,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0
0,1.335579997471331,1.4303228762483668,2.127316632229175,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0
0,-1.0822987377602449,-0.5053622832817871,-0.8865165327769902,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,1.5814659705457286,1.4703715347214046,2.387111958748362,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0
0,-0.2626788275122531,0.5575958603567547,-0.09662931549667769,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
0,1.3765609929837306,-0.1349121924061886,0.75886857612705,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0.7208650647853372,-1.5032413569016423,-0.6030051756864613,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0
0,0.7618460602977367,0.3339908505489609,0.7075978272453763,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0
0,-0.5905267916114498,-0.8340950215813044,-0.6996121504510263,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
0,1.2536180064465319,0.842942551977148,1.5566317216994268,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
0,1.540484975033329,0.9881189389419093,2.0126634128066034,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0
0,1.540484975033329,-0.5120370596939599,0.47328344520051546,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0
0,-0.2216978319998535,-1.5132535215199017,-0.8063673801577472,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0
0,-0.8364127646858474,0.3556838738885227,-0.6367370926572354,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0
0,-1.2462227198098432,0.5008602608532845,-0.9338382868007381,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
0,-0.7954317691734478,0.9647572214993039,-0.4773874286416033,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
1,1.0896940243969335,0.9564137509840877,1.445993681406142,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
0,-1.2462227198098432,-0.6555447525556783,-0.9765050804053667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0.4749790917109396,-0.363523284523112,0.04098984608846874,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
0,-0.672488782636249,-0.031453158017507914,-0.5619268045945179,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
0,-1.2872037153222429,0.6794105298789106,-0.9759976676582588,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1
1,-0.6315077871238494,1.2217361133679623,-0.24051392143741615,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
0,1.6224469660581282,0.0019207240433568116,0.9624513948362091,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0
1,-0.9593557512230462,-1.466530086634691,-0.9234914790444966,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0
0,0.3110551096613412,0.9413955040566989,0.6436858825335826,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
1,-0.8364127646858474,-1.1962016419416868,-0.8455484688039832,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,0.43399809619854,0.9130277043049636,0.7683770497793743,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
0,1.1716560154217326,0.47416115520459284,1.1132191649985834,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0
1,-0.6315077871238494,0.37570820312504183,-0.46953356177332617,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
0,1.4585229840085299,0.7094470237336891,1.5290328805415205,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
0,-0.1397358409750543,0.12206669946246962,-0.1443040523010224,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
0,0.6798840692729375,-1.4848857217681666,-0.5583749153647635,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
1,-0.34464081853705225,0.16044666383246425,-0.24927230668097233,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,-1.2462227198098432,0.14876580511116178,-0.9497004505038031,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,1.0487130288845339,-0.009760134677945651,0.66091585451146,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0
0,1.5814659705457286,-1.3797579932764428,-0.27596662946359934,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0
0,-1.2872037153222429,-1.5032413569016423,-1.0048540099720409,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0
0,0.22909311863654203,-1.5015726627985988,-0.6845662594280911,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0
0,-0.8364127646858474,-1.4982352745925125,-0.904893698791807,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
0,0.9257700423473351,-1.529940462550334,-0.5048980241043601,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0
0,0.6389030737605379,-1.2979919822273243,-0.46439325003088644,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0
0,-0.9593557512230462,-0.815739386447829,-0.8551672495752438,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,0.10615013209934325,1.1700065961736221,0.5427328072829204,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1
1,-1.2052417242974438,0.5392402252232786,-0.9106296689765038,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
1,-1.2872037153222429,0.3373282387550472,-0.9805202595346543,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
0,1.4175419884961302,0.7745260937523754,1.5446303071591383,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
0,-1.2052417242974438,1.340213394684032,-0.8711176589734582,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
1,-1.2052417242974438,0.5075350372654576,-0.9148875237674515,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
0,-0.34464081853705225,-1.3714145227612264,-0.7545671571051783,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0
0,-0.7544507736610482,-1.3230223937729728,-0.8494092179667598,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
0,1.2126370109341322,0.20717009871767506,0.9661797754562619,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0
0,-1.1232797332726445,0.1587779697294211,-0.8680731824908114,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,1.5814659705457286,-1.5132535215199017,-0.4285213749527447,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0
0,0.7618460602977367,1.5471314634613933,1.5102365474747454,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0
